USGS Parameter Code,Number of Sensors Reporting,Short Name,Long Name,Units,USGS Group Name
00065,9655,"Height, gage","Gage height, feet",ft,Physical
00060,7899,"Stream flow, mean. daily","Discharge, cubic feet per second",ft3/s,Physical
00045,2609,Precipitation,"Precipitation, total, inches",in,Physical
00010,1878,"Temperature, water","Temperature, water, degrees Celsius",deg C,Physical
72019,1302,Depth to water level below land surface,"Depth to water level, feet below land surface",ft,Physical
00095,1007,Specific conductance,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius",uS/cm @25C,Physical
00300,564,Oxygen,"Dissolved oxygen, water, unfiltered, milligrams per liter",mg/l,"Inorganics, Major, Non-metals"
00400,456,pH,"pH, water, unfiltered, field, standard units",std units,Physical
63680,435,Turbidity,"Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)",FNU,Physical
00055,399,Stream velocity,"Stream velocity, feet per second",ft/sec,Physical
72020,325,,"Elevation above NGVD 1929, feet",ft,Physical
00062,303,,"Elevation of reservoir water surface above datum, feet",ft,Physical
63160,257,,"Stream water level elevation above NAVD 1988, in feet",ft,Physical
00020,216,"Temperature, air","Temperature, air, degrees Celsius",deg C,Physical
81027,176,"Temperature, soil","Temperature, soil, degrees Celsius",deg C,Physical
00036,161,Wind direction,"Wind direction, degrees clockwise from true north",Deg,Physical
70969,152,,"DCP battery voltage, volts",volts,Information
00021,151,"Temperature, air","Temperature, air, degrees Fahrenheit",deg F,Physical
00035,150,,"Wind speed, miles per hour",mph,Physical
00480,142,Salinity,"Salinity, water, unfiltered, parts per thousand",ppth,Physical
00054,120,Reservoir storage,"Reservoir storage, acre feet",ac-ft,Information
62614,113,,"Lake or reservoir water surface elevation above NGVD 1929, feet",ft,Physical
00052,98,Relative humidity,"Relative humidity, percent",%,Physical
00301,84,Oxygen,"Dissolved oxygen, water, unfiltered, percent of saturation",% saturatn,"Inorganics, Major, Non-metals"
45592,80,,"Gate opening, height, feet",ft,Information
00011,78,"Temperature, water","Temperature, water, degrees Fahrenheit",deg F,Physical
99133,74,Inorganic nitrogen (nitrate and nitrite),"Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen",mg/l as N,Nutrient
62611,62,,"Groundwater level above NAVD 1988, feet",ft,Physical
00025,57,Barometric pressure,"Barometric pressure, millimeters of mercury",mm/Hg,Physical
72137,52,,"Discharge, tidally filtered, cubic feet per second",ft3/s,Physical
62846,47,,"Soil temperature, degrees Fahrenheit",deg F,Physical
74207,47,Moisture content,"Moisture content, soil, volumetric, percent of total volume",%,Physical
72147,41,,"Depth of sensor below water surface, feet",ft,Information
62619,30,,"Estuary or ocean water surface elevation above NGVD 1929, feet",ft,Physical
45585,29,,"Gate opening, width, feet",ft,Information
63158,29,,"Stream water level elevation above NGVD 1929, in feet",ft,Physical
00063,28,,"Number of sampling points, count",count,Information
32295,25,Colored dissolved organic matter (CDOM),"Colored dissolved organic matter (CDOM), water, in situ, single band excitation, fluorescence emission, parts per billion quinine sulfate equivalents (ppb QSE)",ppb QSE,"Organics, other"
99409,25,Sediment,"Suspended sediment concentration, water, unfiltered, estimated by regression equation, milligrams per liter",mg/l,Sediment
99234,24,,"Count of samples collected by autosampler, number",nu,Information
80154,21,Suspended sediment concentration (SSC),"Suspended sediment concentration, milligrams per liter",mg/l,Sediment
72192,19,Precipitation,"Precipitation, cumulative, inches",in,Physical
75969,19,Barometric pressure,"Barometric pressure, not corrected to sea level, millibars",mbar,Physical
90860,19,Salinity,"Salinity, water, unfiltered, practical salinity units at 25 degrees Celsius",PSS,Physical
62361,18,Chlorophyll,"Chlorophyll, total, water, fluorometric, 650-700 nanometers, in situ sensor, micrograms per liter",ug/l,Biological
