agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,dd_nu,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu,seriesid,familyid
USGS,2339495,OSELIGEE CREEK NEAR LANETT AL,ST,32.9015159,-85.1963308,S,NAD83,,,,3130002,uv,60,,2,,wat,,1645423,0,10/1/2007,1/4/2015,2652,USGS:02339495:00060:00011:00002,USGS:02339495:00011:00002
USGS,2339495,OSELIGEE CREEK NEAR LANETT AL,ST,32.9015159,-85.1963308,S,NAD83,,,,3130002,uv,65,,1,,wat,,17164583,0,10/1/2007,1/5/2015,2653,USGS:02339495:00065:00011:00001,USGS:02339495:00011:00001
USGS,2342500,"UCHEE CREEK NEAR FORT MITCHELL, AL.",ST,32.31681467,-85.014931,S,NAD83,201.76,0.01,NGVD29,3130003,uv,60,,1,,wat,,1645423,0,10/1/2007,1/5/2015,2653,USGS:02342500:00060:00011:00001,USGS:02342500:00011:00001
USGS,2342500,"UCHEE CREEK NEAR FORT MITCHELL, AL.",ST,32.31681467,-85.014931,S,NAD83,201.76,0.01,NGVD29,3130003,uv,65,,2,,wat,,17164583,0,10/1/2007,1/5/2015,2653,USGS:02342500:00065:00011:00002,USGS:02342500:00011:00002
USGS,234296910,CHATTAHOOCHEE RIVER AT COAST GUARD DOCK AT EUFAULA,LK,31.90821568,-85.144932,U,NAD83,0,0.01,NGVD29,3130003,uv,65,,2,,wat,,17164583,0,10/1/2007,1/5/2015,2653,USGS:0234296910:00065:00011:00002,USGS:0234296910:00011:00002
USGS,23432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA",ST,31.62138889,-85.06,S,NAD83,0,0.1,NGVD29,3130004,uv,10,,16,,wat,,1645597,0,5/28/2010,1/5/2015,1683,USGS:023432415:00010:00011:00016,USGS:023432415:00011:00016
USGS,23432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA",ST,31.62138889,-85.06,S,NAD83,0,0.1,NGVD29,3130004,uv,55,,3,,wat,,1645530,0,7/10/2009,1/5/2015,2005,USGS:023432415:00055:00011:00003,USGS:023432415:00011:00003
USGS,23432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA",ST,31.62138889,-85.06,S,NAD83,0,0.1,NGVD29,3130004,uv,60,,2,,wat,,1645423,0,7/10/2009,1/5/2015,2005,USGS:023432415:00060:00011:00002,USGS:023432415:00011:00002
USGS,23432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA",ST,31.62138889,-85.06,S,NAD83,0,0.1,NGVD29,3130004,uv,65,,1,,wat,,17164583,0,7/10/2009,1/5/2015,2005,USGS:023432415:00065:00011:00001,USGS:023432415:00011:00001
USGS,23432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA",ST,31.62138889,-85.06,S,NAD83,0,0.1,NGVD29,3130004,uv,95,,17,,wat,,1646694,0,5/28/2010,1/5/2015,1683,USGS:023432415:00095:00011:00017,USGS:023432415:00011:00017
